	0
C20701	yellow
K03781	blue
K13953	blue
K00374	blue
C00152	green
C00258	green
K07220	blue
K03650	blue
K20373	blue
K06967	blue
K15923	blue
C21386	blue
K00611	blue
C01290	green
C05439	yellow
K00342	blue
C22159	green
C04877	blue
C00931	green
C00085	green
C02051	green
K00763	blue
C20693	yellow
G10981	yellow
K10040	blue
K03522	blue
G00160	yellow
C00227	blue
C10112	yellow
K16066	blue
C00789	green
C16596	green
C04152	blue
K07224	blue
C05488	yellow
K00350	blue
K06176	blue
C05819	green
K15725	blue
C05686	green
K03466	blue
C02415	green
C15805	yellow
K03442	blue
K07576	blue
K01419	blue
G10694	yellow
C05625	yellow
K02745	blue
K07713	blue
G13095	yellow
K08156	blue
C01471	yellow
K00756	blue
K09158	blue
C00740	yellow
C16389	yellow
C02188	green
K03827	blue
C14847	yellow
C00310	green
C06095	yellow
K02016	blue
K12206	blue
C00689	green
K05816	blue
K11749	blue
C20374	green
C15965	yellow
C05703	green
C16837	yellow
C11417	blue
K02357	blue
C00123	yellow
C00354	green
K01255	blue
C20660	yellow
K03296	blue
C05762	green
C00352	green
G00009	yellow
C01635	blue
K06911	blue
K02881	blue
K03216	blue
C05396	blue
K17331	blue
K00105	blue
C04188	green
C20751	green
G13038	yellow
C16578	yellow
K01911	blue
C06078	yellow
K06153	blue
K01628	blue
C00774	yellow
K06113	blue
K06042	blue
C00108	green
C04088	green
K00684	blue
K05822	blue
K02724	blue
C00022	green
K06392	blue
C01762	green
G00016	yellow
K08300	blue
K02650	blue
K00548	blue
C17322	blue
K09474	blue
K01962	blue
K00054	blue
G13037	yellow
K00768	blue
K06409	blue
K07237	blue
K03090	blue
K03043	blue
K06394	blue
K20461	blue
G13087	yellow
C08322	yellow
K01095	blue
C02962	blue
G10505	yellow
C14801	yellow
C04425	green
C00249	green
K15986	blue
K17686	blue
K02052	blue
C20863	green
K21636	blue
C00588	yellow
C08586	yellow
C04353	yellow
K02014	blue
C15646	yellow
K03743	blue
K02058	blue
K15527	blue
K19165	blue
C03939	yellow
K07452	blue
K00209	blue
C11555	yellow
K12554	blue
C16311	yellow
K01950	blue
G13030	yellow
K07138	blue
K02408	blue
C03231	yellow
K02779	blue
K19509	blue
K01686	blue
K03113	blue
K07014	blue
C12145	yellow
C00342	green
G10113	yellow
C21937	yellow
C03838	green
K01438	blue
K02558	blue
C15786	yellow
K18707	blue
C03012	yellow
C15606	yellow
C02356	yellow
K00946	blue
K11784	blue
K01183	blue
K02314	blue
C02477	yellow
K00826	blue
K03742	blue
C00221	green
C01724	yellow
C00517	yellow
C04260	blue
K12369	blue
K07221	blue
C01789	yellow
C21486	yellow
K02858	blue
C15556	green
K23004	blue
K05787	blue
C08590	yellow
C02218	green
C00942	yellow
K08218	blue
C05712	green
C11583	yellow
C08362	yellow
C03167	blue
K01058	blue
C00305	yellow
K03548	blue
C11638	blue
K07404	blue
K02662	blue
C16620	yellow
C00593	blue
K02536	blue
C01268	green
K07090	blue
K01069	blue
K00606	blue
C00681	green
K02945	blue
K05879	blue
K01668	blue
K01697	blue
C16540	yellow
K03074	blue
C05696	green
C00323	yellow
C06441	blue
K06215	blue
K14623	blue
K02653	blue
G13180	blue
K12294	blue
K16899	blue
K19510	blue
C02165	yellow
C14805	yellow
C05290	yellow
K15554	blue
C05437	yellow
C01233	yellow
C05199	blue
K09940	blue
C08601	yellow
K03856	blue
C03033	yellow
K06416	blue
C00198	blue
C18062	yellow
K01056	blue
K03976	blue
K10823	blue
K01835	blue
C06503	blue
K03306	blue
K07113	blue
C19607	yellow
C00012	green
K00259	blue
K00974	blue
K04488	blue
K01322	blue
K02001	blue
C00500	yellow
C12627	yellow
K03667	blue
K04748	blue
C20877	yellow
K03700	blue
G00085	yellow
C06178	yellow
C05589	yellow
C01117	green
K01698	blue
C20062	blue
K10947	blue
K03744	blue
K07010	blue
C20267	yellow
C01242	green
C15776	yellow
C20373	green
C05587	yellow
K15051	blue
C00093	green
K07139	blue
C00250	green
K06942	blue
K07278	blue
C01962	green
K07075	blue
C06481	green
C03492	green
C11542	blue
C00498	green
C00630	green
C02000	yellow
C12455	green
C21754	yellow
C15797	yellow
K03436	blue
K00175	blue
K03471	blue
K00104	blue
K00681	blue
K02020	blue
C00213	yellow
C18044	yellow
K10773	blue
C07712	yellow
C05261	green
K01479	blue
C01289	blue
C06024	green
C05502	yellow
C06509	blue
C00007	green
C01157	yellow
K00033	blue
C00235	yellow
K02884	blue
C19859	green
K08281	blue
C11543	blue
C03004	yellow
C08316	yellow
K10010	blue
C00229	green
C00334	green
C01545	yellow
C04778	blue
K00833	blue
K02426	blue
C00282	blue
C05933	yellow
K00526	blue
C20768	blue
C02972	green
C00096	green
K00859	blue
C07490	green
G00111	yellow
K02009	blue
K02341	blue
K03732	blue
C02741	green
K03705	blue
C00750	yellow
K03500	blue
C05235	blue
K09155	blue
C09305	yellow
C08591	yellow
C00015	green
K01756	blue
K13012	blue
K06382	blue
K01572	blue
C21172	yellow
C16243	blue
C05901	yellow
G00097	yellow
C00004	green
K01071	blue
K01791	blue
K02557	blue
K00177	blue
C04244	yellow
C14874	yellow
K00046	blue
C04702	blue
K03570	blue
C06365	blue
C16537	yellow
C11855	yellow
C00468	yellow
K03186	blue
K02040	blue
K01813	blue
C04157	green
C05778	yellow
K12574	blue
K01546	blue
K00648	blue
K00528	blue
K01919	blue
C05610	yellow
G00319	yellow
C03227	yellow
G13025	yellow
C15795	yellow
K09762	blue
C00103	green
C05265	green
C21115	yellow
C02171	yellow
K02756	blue
K13043	blue
C00104	green
K01915	blue
K00184	blue
C04419	green
C20753	blue
K00425	blue
K01778	blue
K02564	blue
K16235	blue
K02888	blue
K02036	blue
K14056	blue
C05455	yellow
K03385	blue
K23003	blue
G13177	blue
C06187	blue
K07751	blue
K03529	blue
K03835	blue
K01155	blue
C05906	yellow
K18785	blue
K02775	blue
K01934	blue
C19847	blue
C08584	yellow
C02679	green
C15807	yellow
K02548	blue
K22927	blue
G00021	yellow
K11755	blue
K02795	blue
K06940	blue
K02372	blue
C05908	yellow
C13952	blue
C00001	green
C20958	blue
K04028	blue
K21087	blue
C03765	yellow
K02897	blue
C22564	yellow
K03091	blue
K00645	blue
K07243	blue
K01159	blue
C05830	yellow
K01926	blue
K09790	blue
C01921	yellow
K15738	blue
K03470	blue
K02784	blue
C20239	green
C14844	yellow
K01624	blue
C00097	green
C05580	yellow
K01429	blue
K18138	blue
K00341	blue
C20681	yellow
C20562	blue
K04761	blue
K02803	blue
K03931	blue
K00275	blue
C22443	green
K09824	blue
C16591	yellow
K00375	blue
K06158	blue
C15522	yellow
K01304	blue
K19701	blue
C17231	green
C01772	yellow
C08628	yellow
